Name;Address;Datatype;Description;Enhet;Meas interval;Meas unit;New tag
AK_ENERGI_P;X15D;BOOL;Puls från el energimätare ;Av/på;0;Ved Endring;P_THP_AK_ENERGI_P
CAMBI_AI1_CALC;D3824;REAL;Kalkylerat värde;;30;Sekund;P_THP_CAMBI_AI1_CALC
CAMBI_AI2_CALC;D3844;REAL;Kalkylerat värde;;30;Sekund;P_THP_CAMBI_AI2_CALC
CAMBI_AI3_CALC;D3864;REAL;Kalkylerat värde;;30;Sekund;P_THP_CAMBI_AI3_CALC
CAMBI_AI4_CALC;D3884;REAL;Kalkylerat värde;;30;Sekund;P_THP_CAMBI_AI4_CALC
CAMBI_AI5_CALC;D3904;REAL;Kalkylerat värde;;30;Sekund;P_THP_CAMBI_AI5_CALC
CAMBI_AI6_CALC;D3924;REAL;Kalkylerat värde;;30;Sekund;P_THP_CAMBI_AI6_CALC
CAS_TS03_01_01_CAS;M3241;BOOL;Omrörare Buffertank septik Fuktvakt, tempvakt;Av/på;0;Ved Endring;P_THP_CAS_TS03_01_01_CAS
CAS_TS60_01_00_CAS;M3213;BOOL;Recirkulationspump slam Profibus DP Fuktvakt, tempvakt;Av/på;0;Ved Endring;P_THP_CAS_TS60_01_00_CAS
CAS_TS60_02_00_CAS;M3214;BOOL;Recirkulationspump slam Profibus DP Fuktvakt, tempvakt;Av/på;0;Ved Endring;P_THP_CAS_TS60_02_00_CAS
CTW92_01_01_D;X13F;BOOL;Kylfläktar Drift;Av/på;0;Ved Endring;P_THP_CTW92_01_01_D
CTW92_01_02_D;X143;BOOL;Kylfläktar Drift;Av/på;0;Ved Endring;P_THP_CTW92_01_02_D
CTW92_02_01_D;X147;BOOL;Kylfläktar Drift;Av/på;0;Ved Endring;P_THP_CTW92_02_01_D
CTW92_02_02_D;X14B;BOOL;Kylfläktar Drift;Av/på;0;Ved Endring;P_THP_CTW92_02_02_D
EQU01_00_01_D;X40;BOOL;Hydraulaggregat Drift;Av/på;0;Ved Endring;P_THP_EQU01_00_01_D
EQU71_00_00_D;XE4;BOOL;Hydraulaggregat Drift;Av/på;0;Ved Endring;P_THP_EQU71_00_00_D
FIC03_00_01_HMI_SP;D2216;REAL;Setpoint från HMI;;30;Sekund;P_THP_FIC03_00_01_HMI_SP
FIC04_00_01_HMI_SP;D2276;REAL;Setpoint från HMI;;30;Sekund;P_THP_FIC04_00_01_HMI_SP
FIC71_01_01_HMI_SP;D2436;REAL;Setpoint från HMI;;30;Sekund;P_THP_FIC71_01_01_HMI_SP
FIC71_02_01_HMI_SP;D2456;REAL;Setpoint från HMI;;30;Sekund;P_THP_FIC71_02_01_HMI_SP
FIC72_00_01_72_HMI_SP;D2256;REAL;Setpoint från HMI;;30;Sekund;P_THP_FIC72_00_01_72_HMI_SP
FIC72_00_01_90_HMI_SP;D2236;REAL;Setpoint från HMI;;30;Sekund;P_THP_FIC72_00_01_90_HMI_SP
FIC80_01_01_HMI_SP;D2476;REAL;Setpoint från HMI;;30;Sekund;P_THP_FIC80_01_01_HMI_SP
FIC80_02_01_HMI_SP;D2496;REAL;Setpoint från HMI;;30;Sekund;P_THP_FIC80_02_01_HMI_SP
FIC90_02_01_HMI_SP;D2176;REAL;Setpoint från HMI;;30;Sekund;P_THP_FIC90_02_01_HMI_SP
FT01_00_01K_CALC;D5150;REAL;Kalkylerat flöde slam;;30;Sekund;P_THP_FT01_00_01K_CALC
FT03_00_01_CALC;D2584;REAL;Kalkylerat värde;;30;Sekund;P_THP_FT03_00_01_CALC
FT03_00_01_P;XA0;BOOL;Septikslam Flödespuls;Av/på;0;Ved Endring;P_THP_FT03_00_01_P
FT04_00_01_CALC;D2604;REAL;Kalkylerat värde;;30;Sekund;P_THP_FT04_00_01_CALC
FT04_00_01_P;XA1;BOOL;Fett Flödespuls;Av/på;0;Ved Endring;P_THP_FT04_00_01_P
FT61_00_01_CALC;D3064;REAL;Kalkylerat värde;;30;Sekund;P_THP_FT61_00_01_CALC
FT61_00_01_P;XD7;BOOL;Gasflöde från rötkammare Flödespuls;Av/på;0;Ved Endring;P_THP_FT61_00_01_P
FT61_00_02_CALC;D3084;REAL;Kalkylerat värde;;30;Sekund;P_THP_FT61_00_02_CALC
FT61_00_02_P;XD8;BOOL;Gasflöde brukad biogass Flödespuls;Av/på;0;Ved Endring;P_THP_FT61_00_02_P
FT71_01_01_CALC;D3244;REAL;Kalkylerat värde;;30;Sekund;P_THP_FT71_01_01_CALC
FT71_01_01_P;XA2;BOOL;Slam till centrifug Flödespuls;Av/på;0;Ved Endring;P_THP_FT71_01_01_P
FT71_02_01_CALC;D3264;REAL;Kalkylerat värde;;30;Sekund;P_THP_FT71_02_01_CALC
FT71_02_01_P;XA3;BOOL;Slam till centrifug Flödespuls;Av/på;0;Ved Endring;P_THP_FT71_02_01_P
FT72_00_01_CALC;D3384;REAL;Kalkylerat värde;;30;Sekund;P_THP_FT72_00_01_CALC
FT72_00_01_P;XA4;BOOL;Spädvatten Flödespuls;Av/på;0;Ved Endring;P_THP_FT72_00_01_P
FT80_01_01_CALC;D3424;REAL;Kalkylerat värde;;30;Sekund;P_THP_FT80_01_01_CALC
FT80_01_01_P;XA5;BOOL;Polymer Flödespuls;Av/på;0;Ved Endring;P_THP_FT80_01_01_P
FT80_02_01_CALC;D3444;REAL;Kalkylerat värde;;30;Sekund;P_THP_FT80_02_01_CALC
FT80_02_01_P;XA6;BOOL;Polymer Flödespuls;Av/på;0;Ved Endring;P_THP_FT80_02_01_P
FT90_02_01_CALC;D3464;REAL;Kalkylerat värde;;30;Sekund;P_THP_FT90_02_01_CALC
FT90_02_01_P;XA7;BOOL;Renvatten Flödespuls;Av/på;0;Ved Endring;P_THP_FT90_02_01_P
LEVELS_LS03_01_01;M3223;BOOL;Överfyllnadsskydd buffertank septik ;Av/på;0;Ved Endring;P_THP_LEVELS_LS03_01_01
LEVELS_LS04_01_01;M3200;BOOL;Överfyllnadsskydd Fetttank 1 ;Av/på;0;Ved Endring;P_THP_LEVELS_LS04_01_01
LEVELS_LS04_02_01;M3201;BOOL;Överfyllnadsskydd Fetttank 1 ;Av/på;0;Ved Endring;P_THP_LEVELS_LS04_02_01
LEVELS_LS72_00_01;M3224;BOOL;Nivåvakt ;Av/på;0;Ved Endring;P_THP_LEVELS_LS72_00_01
LEVELS_LS90_00_01;M3235;BOOL;Nivåvakt ;Av/på;0;Ved Endring;P_THP_LEVELS_LS90_00_01
