Class;Identifier;MIT-Addr.;IEC-Addr.;Type;Initial;Comment;Remark
VAR_GLOBAL;_PID_Execute;;;BOOL;FALSE;Execute PID calculation;
VAR_GLOBAL;ACK_ALARM;D4813;%MW0.4813;INT;0;ACK gjord från OP eller HMI;
VAR_GLOBAL;ACK_ALARM_HMI;D4813.0;%MX0.4813.0;BOOL;FALSE;ACK gjord från OP eller HMI;
VAR_GLOBAL;ACK_ALARM_RETURN_HMI;D4813.1;%MX0.4813.1;BOOL;FALSE;ACK och alarm returnerar;
VAR_GLOBAL;AI_HMI_Register;;;INT;0;Information till/från HMI Används inte;
VAR_GLOBAL;AI_NOT_USED;;;INT;0;Analog IN som inte används;
VAR_GLOBAL;AK_ENERGI_EFFEKT;D5108;%MD0.5108;REAL;0;Effekt värde;
VAR_GLOBAL;AK_ENERGI_ENERGISUM_FAKTOR;D5100;%MD0.5100;REAL;0;Flödessumma faktor för 1 puls;
VAR_GLOBAL;AK_ENERGI_ENERGISUM_IDAG;D5102;%MD0.5102;REAL;0;Flödessumma idag;
VAR_GLOBAL;AK_ENERGI_ENERGISUM_IGAR;D5104;%MD0.5104;REAL;0;Flödessumma igår;
VAR_GLOBAL;AK_ENERGI_ENERGISUM_MC_INTEGRAL;M3553;%MX0.3553;BOOL;FALSE;Flödesumma integrering puls val från OP;
VAR_GLOBAL;AK_ENERGI_ENERGISUM_RESET;M3550;%MX0.3550;BOOL;FALSE;Flödessumma reset;
VAR_GLOBAL;AK_ENERGI_ENERGISUM_STATE0;M3551;%MX0.3551;BOOL;FALSE;Flödessumma inget flöde;
VAR_GLOBAL;AK_ENERGI_ENERGISUM_STATE1;M3552;%MX0.3552;BOOL;FALSE;Flödessumma 1.a flödes sample;
VAR_GLOBAL;AK_ENERGI_ENERGISUM_TOTAL;D5106;%MD0.5106;REAL;0;Flödessumma totalt;
VAR_GLOBAL;AK_ENERGI_P;X15D;%IX349;BOOL;FALSE;Puls från el energimätare ;
VAR_GLOBAL;AK_OVERSP;X15E;%IX350;BOOL;FALSE;Överspänning AK skåp ;
VAR_GLOBAL;ALARM_UBG;D6200;%MW0.6200;INT;0;Alarm signaler;
VAR_GLOBAL;ALARM_UBG_BRANDLARM_ANL_OK;D6200.1;%MX0.6200.1;BOOL;FALSE;Brandlarm anläggning;
VAR_GLOBAL;ALARM_UBG_GASLARM_UBG_HT_OK;D6200.0;%MX0.6200.0;BOOL;FALSE;Gaslarm från UBG och HT;
VAR_GLOBAL;AV_FM_Inlopp;D102;%MW0.102;INT;0;Sandtvätt Ärvärde flöde inlopp 0,1 m3/h;
VAR_GLOBAL;AV_FRO_RoFAS_Frekv;D100;%MW0.100;INT;0;Sandtvätt Ärvärde frekvens RoFas 0,01 Hz;
VAR_GLOBAL;AV_FRO_RoFAS_Strom;D101;%MW0.101;INT;0;Sandtvätt Ärvärde stm RoFas 0,01 A;
VAR_GLOBAL;AV_Niv_Press;D103;%MW0.103;INT;0;Sandtvätt Ärvärde nivå i press 1,0 cm;
VAR_GLOBAL;AV_NivSand;D104;%MW0.104;INT;0;Sandtvätt Ärvärde nivå i sandtvätt 1,0 %;
VAR_GLOBAL;BIT_KAP_PT_AUTO_ENABLE;D6198.4;%MX0.6198.4;BOOL;FALSE;Enable AUTO;
VAR_GLOBAL;BIT_KAP_PT_AUTO_VAL;D6198.1;%MX0.6198.1;BOOL;FALSE;Auto val av PT istället för LT till UBG;
VAR_GLOBAL;BIT_KAP_PT_MAN_VAL;D6198.0;%MX0.6198.0;BOOL;FALSE;=1 Manuellt forcerat val av Tryck kapacitet till UBG;
VAR_GLOBAL;BIT_KAP_PT_PARAMFEL;D6198.2;%MX0.6198.2;BOOL;FALSE;Parameterfel PT linjärisering;
VAR_GLOBAL;BIT_KAP_PT_SELECTED;D6198.3;%MX0.6198.3;BOOL;FALSE;Tryck linjärisering som kapacitet till UBG;
VAR_GLOBAL;BRANDALARM;X182;%IX386;BOOL;FALSE;Brandalarm;
VAR_GLOBAL;BRANDLARM_ANL_OK;X197;%IX407;BOOL;FALSE;Brandlarm anläggning OK;
VAR_GLOBAL;BV_REJEKT;D4864;%MD0.4864;REAL;0;Setpoint rejekt;
VAR_GLOBAL;BV_SEPTIK;D4862;%MD0.4862;REAL;0;Setpoint septik;
VAR_GLOBAL;BV_VANN;D4866;%MD0.4866;REAL;0;Setpoint vann;
VAR_GLOBAL;CAMBI_AI1;;;INT;0;Signal från analoga inkortet;
VAR_GLOBAL;CAMBI_AI1_CALC;D3824;%MD0.3824;REAL;0;Kalkylerat värde;
VAR_GLOBAL;CAMBI_AI1_CURRENT;D3826;%MD0.3826;REAL;0;Strömvärde 4-20mA;
VAR_GLOBAL;CAMBI_AI1_GAIN;;;REAL;0;Signal från analoga inkortet;
VAR_GLOBAL;CAMBI_AI1_H_ALARM;M1663;%MX0.1663;BOOL;FALSE;H varning bit;
VAR_GLOBAL;CAMBI_AI1_H_LIMIT;D3830;%MD0.3830;REAL;0;H varning gräns;
VAR_GLOBAL;CAMBI_AI1_HH_ALARM;M1662;%MX0.1662;BOOL;FALSE;HH alarm bit;
VAR_GLOBAL;CAMBI_AI1_HH_LIMIT;D3828;%MD0.3828;REAL;0;HH alarm gräns;
VAR_GLOBAL;CAMBI_AI1_HYST_TIM_SEK;D3839;%MW0.3839;INT;0;Gemensam tids hysteres preset;
VAR_GLOBAL;CAMBI_AI1_HYSTERES;D3836;%MD0.3836;REAL;0;Gemensam hysteres värde;
VAR_GLOBAL;CAMBI_AI1_L_ALARM;M1664;%MX0.1664;BOOL;FALSE;L varning bit;
VAR_GLOBAL;CAMBI_AI1_L_LIMIT;D3832;%MD0.3832;REAL;0;L varning gräns;
VAR_GLOBAL;CAMBI_AI1_LL_ALARM;M1665;%MX0.1665;BOOL;FALSE;LL alarm bit;
VAR_GLOBAL;CAMBI_AI1_LL_LIMIT;D3834;%MD0.3834;REAL;0;LL alarm gräns;
VAR_GLOBAL;CAMBI_AI1_MAX;D3822;%MD0.3822;REAL;0;Max värde 20mA;
VAR_GLOBAL;CAMBI_AI1_MIN;D3820;%MD0.3820;REAL;0;Min värde 4mA;
VAR_GLOBAL;CAMBI_AI1_NO_ALARM;M1667;%MX0.1667;BOOL;FALSE;Inga alarm = TRUE;
VAR_GLOBAL;CAMBI_AI1_PARAM_ERROR;M1661;%MX0.1661;BOOL;FALSE;Parameterfel;
VAR_GLOBAL;CAMBI_AI1_SIGN_ERROR;M1660;%MX0.1660;BOOL;FALSE;Signalfel;
VAR_GLOBAL;CAMBI_AI1_SIM_VALUE;D3838;%MW0.3838;INT;0;Simulerings värde samt trendkurva OP;
VAR_GLOBAL;CAMBI_AI1_SIMULERA;M1666;%MX0.1666;BOOL;FALSE;Simulera kalkylerat värde;
VAR_GLOBAL;CAMBI_AI1_TIM_HYST_SEK;;;INT;0;Gemensam tids hysteres acc;
VAR_GLOBAL;CAMBI_AI2;;;INT;0;Signal från analoga inkortet;
VAR_GLOBAL;CAMBI_AI2_CALC;D3844;%MD0.3844;REAL;0;Kalkylerat värde;
VAR_GLOBAL;CAMBI_AI2_CURRENT;D3846;%MD0.3846;REAL;0;Strömvärde 4-20mA;
VAR_GLOBAL;CAMBI_AI2_GAIN;;;REAL;0;Signal från analoga inkortet;
VAR_GLOBAL;CAMBI_AI2_H_ALARM;M1673;%MX0.1673;BOOL;FALSE;H varning bit;
VAR_GLOBAL;CAMBI_AI2_H_LIMIT;D3850;%MD0.3850;REAL;0;H varning gräns;
VAR_GLOBAL;CAMBI_AI2_HH_ALARM;M1672;%MX0.1672;BOOL;FALSE;HH alarm bit;
VAR_GLOBAL;CAMBI_AI2_HH_LIMIT;D3848;%MD0.3848;REAL;0;HH alarm gräns;
VAR_GLOBAL;CAMBI_AI2_HYST_TIM_SEK;D3859;%MW0.3859;INT;0;Gemensam tids hysteres preset;
VAR_GLOBAL;CAMBI_AI2_HYSTERES;D3856;%MD0.3856;REAL;0;Gemensam hysteres värde;
VAR_GLOBAL;CAMBI_AI2_L_ALARM;M1674;%MX0.1674;BOOL;FALSE;L varning bit;
VAR_GLOBAL;CAMBI_AI2_L_LIMIT;D3852;%MD0.3852;REAL;0;L varning gräns;
VAR_GLOBAL;CAMBI_AI2_LL_ALARM;M1675;%MX0.1675;BOOL;FALSE;LL alarm bit;
VAR_GLOBAL;CAMBI_AI2_LL_LIMIT;D3854;%MD0.3854;REAL;0;LL alarm gräns;
VAR_GLOBAL;CAMBI_AI2_MAX;D3842;%MD0.3842;REAL;0;Max värde 20mA;
VAR_GLOBAL;CAMBI_AI2_MIN;D3840;%MD0.3840;REAL;0;Min värde 4mA;
VAR_GLOBAL;CAMBI_AI2_NO_ALARM;M1677;%MX0.1677;BOOL;FALSE;Inga alarm = TRUE;
VAR_GLOBAL;CAMBI_AI2_PARAM_ERROR;M1671;%MX0.1671;BOOL;FALSE;Parameterfel;
VAR_GLOBAL;CAMBI_AI2_SIGN_ERROR;M1670;%MX0.1670;BOOL;FALSE;Signalfel;
VAR_GLOBAL;CAMBI_AI2_SIM_VALUE;D3858;%MW0.3858;INT;0;Simulerings värde samt trendkurva OP;
VAR_GLOBAL;CAMBI_AI2_SIMULERA;M1676;%MX0.1676;BOOL;FALSE;Simulera kalkylerat värde;
VAR_GLOBAL;CAMBI_AI2_TIM_HYST_SEK;;;INT;0;Gemensam tids hysteres acc;
VAR_GLOBAL;CAMBI_AI3;;;INT;0;Signal från analoga inkortet;
VAR_GLOBAL;CAMBI_AI3_CALC;D3864;%MD0.3864;REAL;0;Kalkylerat värde;
VAR_GLOBAL;CAMBI_AI3_CURRENT;D3866;%MD0.3866;REAL;0;Strömvärde 4-20mA;
VAR_GLOBAL;CAMBI_AI3_GAIN;;;REAL;0;Signal från analoga inkortet;
VAR_GLOBAL;CAMBI_AI3_H_ALARM;M1683;%MX0.1683;BOOL;FALSE;H varning bit;
VAR_GLOBAL;CAMBI_AI3_H_LIMIT;D3870;%MD0.3870;REAL;0;H varning gräns;
VAR_GLOBAL;CAMBI_AI3_HH_ALARM;M1682;%MX0.1682;BOOL;FALSE;HH alarm bit;
VAR_GLOBAL;CAMBI_AI3_HH_LIMIT;D3868;%MD0.3868;REAL;0;HH alarm gräns;
VAR_GLOBAL;CAMBI_AI3_HYST_TIM_SEK;D3879;%MW0.3879;INT;0;Gemensam tids hysteres preset;
VAR_GLOBAL;CAMBI_AI3_HYSTERES;D3876;%MD0.3876;REAL;0;Gemensam hysteres värde;
VAR_GLOBAL;CAMBI_AI3_L_ALARM;M1684;%MX0.1684;BOOL;FALSE;L varning bit;
VAR_GLOBAL;CAMBI_AI3_L_LIMIT;D3872;%MD0.3872;REAL;0;L varning gräns;
VAR_GLOBAL;CAMBI_AI3_LL_ALARM;M1685;%MX0.1685;BOOL;FALSE;LL alarm bit;
VAR_GLOBAL;CAMBI_AI3_LL_LIMIT;D3874;%MD0.3874;REAL;0;LL alarm gräns;
VAR_GLOBAL;CAMBI_AI3_MAX;D3862;%MD0.3862;REAL;0;Max värde 20mA;
VAR_GLOBAL;CAMBI_AI3_MIN;D3860;%MD0.3860;REAL;0;Min värde 4mA;
VAR_GLOBAL;CAMBI_AI3_NO_ALARM;M1687;%MX0.1687;BOOL;FALSE;Inga alarm = TRUE;
VAR_GLOBAL;CAMBI_AI3_PARAM_ERROR;M1681;%MX0.1681;BOOL;FALSE;Parameterfel;
VAR_GLOBAL;CAMBI_AI3_SIGN_ERROR;M1680;%MX0.1680;BOOL;FALSE;Signalfel;
VAR_GLOBAL;CAMBI_AI3_SIM_VALUE;D3878;%MW0.3878;INT;0;Simulerings värde samt trendkurva OP;
VAR_GLOBAL;CAMBI_AI3_SIMULERA;M1686;%MX0.1686;BOOL;FALSE;Simulera kalkylerat värde;
VAR_GLOBAL;CAMBI_AI3_TIM_HYST_SEK;;;INT;0;Gemensam tids hysteres acc;
VAR_GLOBAL;CAMBI_AI4;;;INT;0;Signal från analoga inkortet;
VAR_GLOBAL;CAMBI_AI4_CALC;D3884;%MD0.3884;REAL;0;Kalkylerat värde;
VAR_GLOBAL;CAMBI_AI4_CURRENT;D3886;%MD0.3886;REAL;0;Strömvärde 4-20mA;
VAR_GLOBAL;CAMBI_AI4_GAIN;;;REAL;0;Signal från analoga inkortet;
VAR_GLOBAL;CAMBI_AI4_H_ALARM;M1693;%MX0.1693;BOOL;FALSE;H varning bit;
VAR_GLOBAL;CAMBI_AI4_H_LIMIT;D3890;%MD0.3890;REAL;0;H varning gräns;
VAR_GLOBAL;CAMBI_AI4_HH_ALARM;M1692;%MX0.1692;BOOL;FALSE;HH alarm bit;
VAR_GLOBAL;CAMBI_AI4_HH_LIMIT;D3888;%MD0.3888;REAL;0;HH alarm gräns;
VAR_GLOBAL;CAMBI_AI4_HYST_TIM_SEK;D3899;%MW0.3899;INT;0;Gemensam tids hysteres preset;
VAR_GLOBAL;CAMBI_AI4_HYSTERES;D3896;%MD0.3896;REAL;0;Gemensam hysteres värde;
VAR_GLOBAL;CAMBI_AI4_L_ALARM;M1694;%MX0.1694;BOOL;FALSE;L varning bit;
VAR_GLOBAL;CAMBI_AI4_L_LIMIT;D3892;%MD0.3892;REAL;0;L varning gräns;
VAR_GLOBAL;CAMBI_AI4_LL_ALARM;M1695;%MX0.1695;BOOL;FALSE;LL alarm bit;
VAR_GLOBAL;CAMBI_AI4_LL_LIMIT;D3894;%MD0.3894;REAL;0;LL alarm gräns;
VAR_GLOBAL;CAMBI_AI4_MAX;D3882;%MD0.3882;REAL;0;Max värde 20mA;
VAR_GLOBAL;CAMBI_AI4_MIN;D3880;%MD0.3880;REAL;0;Min värde 4mA;
VAR_GLOBAL;CAMBI_AI4_NO_ALARM;M1697;%MX0.1697;BOOL;FALSE;Inga alarm = TRUE;
VAR_GLOBAL;CAMBI_AI4_PARAM_ERROR;M1691;%MX0.1691;BOOL;FALSE;Parameterfel;
VAR_GLOBAL;CAMBI_AI4_SIGN_ERROR;M1690;%MX0.1690;BOOL;FALSE;Signalfel;
VAR_GLOBAL;CAMBI_AI4_SIM_VALUE;D3898;%MW0.3898;INT;0;Simulerings värde samt trendkurva OP;
VAR_GLOBAL;CAMBI_AI4_SIMULERA;M1696;%MX0.1696;BOOL;FALSE;Simulera kalkylerat värde;
VAR_GLOBAL;CAMBI_AI4_TIM_HYST_SEK;;;INT;0;Gemensam tids hysteres acc;
VAR_GLOBAL;CAMBI_AI5;;;INT;0;Signal från analoga inkortet;
VAR_GLOBAL;CAMBI_AI5_CALC;D3904;%MD0.3904;REAL;0;Kalkylerat värde;
VAR_GLOBAL;CAMBI_AI5_CURRENT;D3906;%MD0.3906;REAL;0;Strömvärde 4-20mA;
VAR_GLOBAL;CAMBI_AI5_GAIN;;;REAL;0;Signal från analoga inkortet;
VAR_GLOBAL;CAMBI_AI5_H_ALARM;M1703;%MX0.1703;BOOL;FALSE;H varning bit;
VAR_GLOBAL;CAMBI_AI5_H_LIMIT;D3910;%MD0.3910;REAL;0;H varning gräns;
VAR_GLOBAL;CAMBI_AI5_HH_ALARM;M1702;%MX0.1702;BOOL;FALSE;HH alarm bit;
VAR_GLOBAL;CAMBI_AI5_HH_LIMIT;D3908;%MD0.3908;REAL;0;HH alarm gräns;
VAR_GLOBAL;CAMBI_AI5_HYST_TIM_SEK;D3919;%MW0.3919;INT;0;Gemensam tids hysteres preset;
VAR_GLOBAL;CAMBI_AI5_HYSTERES;D3916;%MD0.3916;REAL;0;Gemensam hysteres värde;
VAR_GLOBAL;CAMBI_AI5_L_ALARM;M1704;%MX0.1704;BOOL;FALSE;L varning bit;
VAR_GLOBAL;CAMBI_AI5_L_LIMIT;D3912;%MD0.3912;REAL;0;L varning gräns;
VAR_GLOBAL;CAMBI_AI5_LL_ALARM;M1705;%MX0.1705;BOOL;FALSE;LL alarm bit;
VAR_GLOBAL;CAMBI_AI5_LL_LIMIT;D3914;%MD0.3914;REAL;0;LL alarm gräns;
VAR_GLOBAL;CAMBI_AI5_MAX;D3902;%MD0.3902;REAL;0;Max värde 20mA;
VAR_GLOBAL;CAMBI_AI5_MIN;D3900;%MD0.3900;REAL;0;Min värde 4mA;
VAR_GLOBAL;CAMBI_AI5_NO_ALARM;M1707;%MX0.1707;BOOL;FALSE;Inga alarm = TRUE;
VAR_GLOBAL;CAMBI_AI5_PARAM_ERROR;M1701;%MX0.1701;BOOL;FALSE;Parameterfel;
VAR_GLOBAL;CAMBI_AI5_SIGN_ERROR;M1700;%MX0.1700;BOOL;FALSE;Signalfel;
VAR_GLOBAL;CAMBI_AI5_SIM_VALUE;D3918;%MW0.3918;INT;0;Simulerings värde samt trendkurva OP;
VAR_GLOBAL;CAMBI_AI5_SIMULERA;M1706;%MX0.1706;BOOL;FALSE;Simulera kalkylerat värde;
VAR_GLOBAL;CAMBI_AI5_TIM_HYST_SEK;;;INT;0;Gemensam tids hysteres acc;
VAR_GLOBAL;CAMBI_AI6;;;INT;0;Signal från analoga inkortet;
VAR_GLOBAL;CAMBI_AI6_CALC;D3924;%MD0.3924;REAL;0;Kalkylerat värde;
VAR_GLOBAL;CAMBI_AI6_CURRENT;D3926;%MD0.3926;REAL;0;Strömvärde 4-20mA;
VAR_GLOBAL;CAMBI_AI6_GAIN;;;REAL;0;Signal från analoga inkortet;
VAR_GLOBAL;CAMBI_AI6_H_ALARM;M1713;%MX0.1713;BOOL;FALSE;H varning bit;
VAR_GLOBAL;CAMBI_AI6_H_LIMIT;D3930;%MD0.3930;REAL;0;H varning gräns;
VAR_GLOBAL;CAMBI_AI6_HH_ALARM;M1712;%MX0.1712;BOOL;FALSE;HH alarm bit;
VAR_GLOBAL;CAMBI_AI6_HH_LIMIT;D3928;%MD0.3928;REAL;0;HH alarm gräns;
VAR_GLOBAL;CAMBI_AI6_HYST_TIM_SEK;D3939;%MW0.3939;INT;0;Gemensam tids hysteres preset;
VAR_GLOBAL;CAMBI_AI6_HYSTERES;D3936;%MD0.3936;REAL;0;Gemensam hysteres värde;
VAR_GLOBAL;CAMBI_AI6_L_ALARM;M1714;%MX0.1714;BOOL;FALSE;L varning bit;
VAR_GLOBAL;CAMBI_AI6_L_LIMIT;D3932;%MD0.3932;REAL;0;L varning gräns;
VAR_GLOBAL;CAMBI_AI6_LL_ALARM;M1715;%MX0.1715;BOOL;FALSE;LL alarm bit;
VAR_GLOBAL;CAMBI_AI6_LL_LIMIT;D3934;%MD0.3934;REAL;0;LL alarm gräns;
VAR_GLOBAL;CAMBI_AI6_MAX;D3922;%MD0.3922;REAL;0;Max värde 20mA;
VAR_GLOBAL;CAMBI_AI6_MIN;D3920;%MD0.3920;REAL;0;Min värde 4mA;
VAR_GLOBAL;CAMBI_AI6_NO_ALARM;M1717;%MX0.1717;BOOL;FALSE;Inga alarm = TRUE;
VAR_GLOBAL;CAMBI_AI6_PARAM_ERROR;M1711;%MX0.1711;BOOL;FALSE;Parameterfel;
VAR_GLOBAL;CAMBI_AI6_SIGN_ERROR;M1710;%MX0.1710;BOOL;FALSE;Signalfel;
VAR_GLOBAL;CAMBI_AI6_SIM_VALUE;D3938;%MW0.3938;INT;0;Simulerings värde samt trendkurva OP;
VAR_GLOBAL;CAMBI_AI6_SIMULERA;M1716;%MX0.1716;BOOL;FALSE;Simulera kalkylerat värde;
VAR_GLOBAL;CAMBI_AI6_TIM_HYST_SEK;;;INT;0;Gemensam tids hysteres acc;
VAR_GLOBAL;CAMBI_DI1;X161;%IX353;BOOL;FALSE;Signal från Cambi Pulper In Service / Klar for mottak;
VAR_GLOBAL;CAMBI_DI2;X162;%IX354;BOOL;FALSE;Signal från Cambi Pulper LSHH Interlock pulper feed pumps;
VAR_GLOBAL;CAMBI_DI3;X163;%IX355;BOOL;FALSE;Signal från Cambi Reverse flow detection råtnetank 1 fødepumpe;
VAR_GLOBAL;CAMBI_DI4;X164;%IX356;BOOL;FALSE;Signal från Cambi Reverse flow detection råtnetank 2 fødepumpe;
VAR_GLOBAL;CAMBI_DI5;X165;%IX357;BOOL;FALSE;Signal från Cambi LS32.00.04_HH;
VAR_GLOBAL;CAMBI_DI6;X166;%IX358;BOOL;FALSE;Signal från Cambi Damp tilgjengelig;
VAR_GLOBAL;CAMBI_DO1;Y1F0;%QX496;BOOL;FALSE;Signal till Cambi Ok från Purac system att pumpa till råtnetank1 ( ingen högnivå).;
VAR_GLOBAL;CAMBI_DO2;Y1F1;%QX497;BOOL;FALSE;Signal till Cambi Ok från Purac system att pumpa till råtnetank2 ( ingen högnivå).;
VAR_GLOBAL;CAMBI_DO3;Y1F2;%QX498;BOOL;FALSE;Signal till Cambi ;
VAR_GLOBAL;CAMBI_DO4;Y1F3;%QX499;BOOL;FALSE;Signal till Cambi ;
VAR_GLOBAL;CAS_TS03_01_01_CAS;M3241;%MX0.3241;BOOL;FALSE;Omrörare Buffertank septik Fuktvakt, tempvakt;
VAR_GLOBAL;CAS_TS60_01_00_CAS;M3213;%MX0.3213;BOOL;FALSE;Recirkulationspump slam Profibus DP Fuktvakt, tempvakt;
VAR_GLOBAL;CAS_TS60_02_00_CAS;M3214;%MX0.3214;BOOL;FALSE;Recirkulationspump slam Profibus DP Fuktvakt, tempvakt;
VAR_GLOBAL;CONT_A;X219;%IX537;BOOL;FALSE;Apparatskåp slamutlastning Utlöst säkring 4350:72_A;
VAR_GLOBAL;CONT_NS1;X20B;%IX523;BOOL;FALSE;Nödstopp Utlöst 4350:72_NS1;
VAR_GLOBAL;CTW92_01_01_A;X142;%IX322;BOOL;FALSE;Kylfläktar Driftsklar;
VAR_GLOBAL;CTW92_01_01_ACOFAlarm;M2466;%MX0.2466;BOOL;FALSE;CTW92_01_01 ACOF alarm;
VAR_GLOBAL;CTW92_01_01_Alarm1;;;BOOL;FALSE;CTW92_01_01 Alarm signal från I/O;
VAR_GLOBAL;CTW92_01_01_Alarm2;;;BOOL;FALSE;CTW92_01_01 Alarm signal från I/O;
VAR_GLOBAL;CTW92_01_01_Alarm3;;;BOOL;FALSE;CTW92_01_01 Alarm signal från I/O;
VAR_GLOBAL;CTW92_01_01_Alarm4;;;BOOL;FALSE;CTW92_01_01 Alarm signal från I/O;
VAR_GLOBAL;CTW92_01_01_ANTAL_IDAG;D1726;%MD0.1726;REAL;0;CTW92_01_01 Starter idag minuter;
VAR_GLOBAL;CTW92_01_01_ANTAL_IGAR;D1728;%MD0.1728;REAL;0;CTW92_01_01 Starter igår minuter;
VAR_GLOBAL;CTW92_01_01_ANTAL_TOTAL;D1730;%MD0.1730;REAL;0;CTW92_01_01 Starter totalt;
VAR_GLOBAL;CTW92_01_01_AUTO_ON;;;BOOL;FALSE;CTW92_01_01 Auto start från logik;
VAR_GLOBAL;CTW92_01_01_D;X13F;%IX319;BOOL;FALSE;Kylfläktar Drift;
VAR_GLOBAL;CTW92_01_01_HMI_AUTO;M2460;%MX0.2460;BOOL;FALSE;CTW92_01_01 HMI Auto manöver;
VAR_GLOBAL;CTW92_01_01_HMI_MAN;M2461;%MX0.2461;BOOL;FALSE;CTW92_01_01 HMI Man manöver;
VAR_GLOBAL;CTW92_01_01_HMI_OFF;M2463;%MX0.2463;BOOL;FALSE;CTW92_01_01 HMI Off manöver;
VAR_GLOBAL;CTW92_01_01_HMI_ON;M2462;%MX0.2462;BOOL;FALSE;CTW92_01_01 HMI On manöver;
VAR_GLOBAL;CTW92_01_01_Q;X141;%IX321;BOOL;FALSE;Kylfläktar Utlöst motorskydd;
VAR_GLOBAL;CTW92_01_01_REMOTE;M2468;%MX0.2468;BOOL;FALSE;CTW92_01_01 Remote;
VAR_GLOBAL;CTW92_01_01_RESET_ANTAL;;;BOOL;FALSE;CTW92_01_01 Nollställ antal starter;
VAR_GLOBAL;CTW92_01_01_RESET_TID;;;BOOL;FALSE;CTW92_01_01 Nollställ drifttider;
VAR_GLOBAL;CTW92_01_01_RESTART_ET;;;REAL;0;CTW92_01_01 Kvar på restarttid ms;
VAR_GLOBAL;CTW92_01_01_RUN;;;BOOL;FALSE;CTW92_01_01 Drift signal från I/O;
VAR_GLOBAL;CTW92_01_01_S;X140;%IX320;BOOL;FALSE;Kylfläktar Remote;
VAR_GLOBAL;CTW92_01_01_ST;Y1DE;%QX478;BOOL;FALSE;Kylfläktar Start;
VAR_GLOBAL;CTW92_01_01_START;M2464;%MX0.2464;BOOL;FALSE;CTW92_01_01 Start signal;
VAR_GLOBAL;CTW92_01_01_STATUS_AUTO;M2467;%MX0.2467;BOOL;FALSE;CTW92_01_01 Status AUTO/MAN;
VAR_GLOBAL;CTW92_01_01_SummaAlarm;M2465;%MX0.2465;BOOL;FALSE;CTW92_01_01 Summa alarm;
VAR_GLOBAL;CTW92_01_01_TID_IDAG;D1720;%MD0.1720;REAL;0;CTW92_01_01 Drifttid idag minuter;
VAR_GLOBAL;CTW92_01_01_TID_IGAR;D1722;%MD0.1722;REAL;0;CTW92_01_01 Drifttid igår minuter;
VAR_GLOBAL;CTW92_01_01_TID_TOTAL;D1724;%MD0.1724;REAL;0;CTW92_01_01 Drifttid totalt hh.mm;
VAR_GLOBAL;CTW92_01_02_A;X146;%IX326;BOOL;FALSE;Kylfläktar Driftsklar;
VAR_GLOBAL;CTW92_01_02_ACOFAlarm;M2476;%MX0.2476;BOOL;FALSE;CTW92_01_02 ACOF alarm;
VAR_GLOBAL;CTW92_01_02_Alarm1;;;BOOL;FALSE;CTW92_01_02 Alarm signal från I/O;
VAR_GLOBAL;CTW92_01_02_Alarm2;;;BOOL;FALSE;CTW92_01_02 Alarm signal från I/O;
VAR_GLOBAL;CTW92_01_02_Alarm3;;;BOOL;FALSE;CTW92_01_02 Alarm signal från I/O;
VAR_GLOBAL;CTW92_01_02_Alarm4;;;BOOL;FALSE;CTW92_01_02 Alarm signal från I/O;
VAR_GLOBAL;CTW92_01_02_ANTAL_IDAG;D1746;%MD0.1746;REAL;0;CTW92_01_02 Starter idag minuter;
